Country,Individuals using the Internet (% of population),"Life expectancy at birth, female (years)",GDP per capita (constant LCU),Urban population,GDP per capita (constant 2010 US$),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Fixed broadband subscriptions,"Birth rate, crude (per 1,000 people)",Access to electricity (% of population),"Fertility rate, total (births per woman)","Incidence of tuberculosis (per 100,000 people)",Urban population (% of total population),Urban population growth (annual %),Happiness Score
Poland,67.997,81.6,44163.05494,22897449,14646.32207,99.04427077,97.692105,7265546,9.7,100,1.32,19,60.278,-0.273799474,5.791
Portugal,68.6329,84.3,17350.05217,6578828,22018.00949,99.9046875,99.44206601,3142188,8.3,100,1.31,23,63.514,0.500060471,5.102
Qatar,92.88482645,81.477,303877.2893,2538642,65137.05739,99.69150138,100,237774,10.033,100,1.929,24,98.945,4.317852081,6.611
Romania,55.7632,78.7,19270.01923,10677968,9712.147569,100,82.80963615,4262132,10.2,100,1.58,82,53.887,-0.494860439,5.124
Rwanda,18,69.434,523433.0932,1933197,730.4316868,56.25843563,64.23988414,21125,32.604,22.8,4.157,61,17.004,2.760550433,3.465
Saudi Arabia,69.6162358,76.264,80246.64002,26382755,21399.10401,99.686901,99.80078584,6335557,19.41,100,2.507,12,83.18,2.821620739,6.411
Senegal,27,68.634,713202.9524,6685973,1383.167206,78.2433413,50.08593779,100611,36.318,60.5,4.841,123,45.862,3.741628636,3.904
Serbia,65.3170254,77.9,478456.2299,3951845,6155.448359,86.28549202,97.63535858,1320230,9.3,100,1.46,21,55.696,-0.291665657,5.123
Sierra Leone,6.344421603,53.77,1182867.711,2928221,441.1376641,58.3126889,14.93763698,,35.055,19.17752075,4.561,307,40.829,3.158728998,4.507
Singapore,79.012957,85.1,76502.97145,5535002,53883.81824,100,100,1486200,9.7,100,1.24,45,100,1.186376937,6.798
Slovenia,73.0987,83.9,18828.23214,1109788,23826.13165,99.53378107,99.10932897,564046,10,100,1.57,7.2,53.781,0.492566224,5.848
South Africa,51.91911572,66.108,55324.75167,35905874,7556.788579,91.85278068,73.89208403,1409347,21.719,85.5,2.484,759,64.828,2.328062523,4.642
Spain,78.6896,85.7,23201.50496,36971015,30549.79181,99.92672465,99.90433468,13542906,9,100,1.33,9.9,79.602,0.219325483,6.329
Sri Lanka,12.1,79.689,412390.7135,3828283,3647.393421,88.25596764,94.43110246,625917,16.609,93.97186279,2.213,65,18.256,1.128174539,4.271
